Season,Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,Jalil Abdul-Bassit,IDA,23,2,0,26,5.5,15.2,0.364,1.4,5.5,0.25,4.2,9.7,0.429,2.8,2.8,1,0,2.8,2.8,1.4,0,0,0,6.9,15.2
2016,Antoine Agudio,CAN,31,36,5,590,3.6,8.2,0.437,2.2,5.1,0.429,1.4,3.1,0.451,1.2,1.7,0.679,0.3,2.1,2.4,2.3,0.9,0,1.2,2.9,10.6
2016,Ronnie Aguilar,TEX,28,6,0,55,3.9,8.5,0.462,0,0,NA,3.9,8.5,0.462,1.3,2.6,0.5,3.3,7.9,11.1,0.7,1.3,1.3,4.6,9.8,9.2
2016,Cliff Alexander,SAN,20,4,4,108,8.3,16,0.521,0,0,NA,8.3,16,0.521,3.3,4.7,0.714,2.3,7.3,9.7,0.7,0.7,2.7,3,5,20
2016,Mychal Ammons,IDA,24,14,0,187,2.5,7.9,0.317,0,0.6,0,2.5,7.3,0.342,1,1.2,0.833,4,5.8,9.8,2.3,1.3,0.2,2.9,6.7,6
2016,Justin Anderson,TEX,22,7,7,268,8.5,18.4,0.46,2.1,6.4,0.333,6.3,12,0.528,2.6,3.2,0.792,0.5,3.8,4.3,3.2,0.4,0.5,1.7,2,21.6
2016,Mike Anderson,RAP,24,1,0,5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,14.4,14.4,7.2,7.2,0,7.2,0,0
2016,Zach Andrews,TOT,30,21,4,291,5.6,10,0.556,0.1,0.5,0.25,5.4,9.5,0.571,2,3.1,0.64,2.8,6.6,9.4,1.6,1.6,2,2.8,6.4,13.2
2016,Thanasis Antetokounmpo,WES,23,44,38,1205,5.5,10.9,0.501,0.7,3,0.22,4.8,7.9,0.608,2.8,4.3,0.65,1.8,4.5,6.3,1.9,1.1,1.6,2.3,3.9,14.4
2016,Keith Appling,ERI,23,35,34,1129,7.3,15.4,0.476,0.9,2.3,0.375,6.5,13.1,0.494,5.7,6.8,0.836,0.6,4.1,4.8,5.7,1.8,0.2,2.6,3.7,21.2
2016,Brandon Ashley,TEX,21,33,33,1045,6.3,13.9,0.455,1.6,4,0.393,4.8,9.9,0.481,2.5,3.3,0.76,1.3,6.4,7.7,2.3,1.1,1.6,2.8,4.6,16.8
2016,Darion Atkins,WES,23,50,37,1472,5.1,11,0.462,0,0.1,0.167,5.1,10.9,0.466,0.4,0.8,0.563,2.1,6.9,9,2.2,1.2,1.6,2.3,3.4,10.6
2016,Eric Atkins,ERI,24,24,8,582,3.5,8.6,0.41,1.1,3.1,0.36,2.4,5.5,0.438,1.4,1.7,0.821,0.7,1.9,2.7,4.5,1.4,0.2,2,3.4,9.6
2016,Jeff Ayres,TOT,28,27,24,875,6.2,11.1,0.554,0.1,0.4,0.3,6,10.7,0.563,5.6,6.3,0.882,2.4,8.2,10.6,2.5,0.8,1.2,2.6,4.4,18
2016,Dallin Bachynski,GRR,24,13,0,102,3.2,8.5,0.375,0.7,0.7,1,2.5,7.8,0.318,1.4,2.1,0.667,3.9,6,9.9,0.7,0.7,0.4,1.1,6.7,8.5
2016,Jordan Bachynski,WES,26,49,49,1339,6.9,11.9,0.579,0,0,0,6.9,11.9,0.58,3.5,5.2,0.682,2.7,6.5,9.2,1.2,0.5,3.1,2.2,4.6,17.3
2016,Cameron Bairstow,AUS,25,5,4,133,7.6,16,0.475,0,0.5,0,7.6,15.4,0.491,3.8,4.6,0.824,2.7,8.1,10.8,1.6,1.1,0.8,3.5,3.5,18.9
2016,Maurice Baker,SAN,36,19,2,332,3.3,8,0.405,0,1.3,0,3.3,6.7,0.484,0.5,0.8,0.714,1.4,4,5.4,3.1,1.5,0.1,1.1,3.6,7
2016,Kelsey Barlow,GRR,24,47,37,1502,5.2,12.7,0.414,1.9,5.4,0.358,3.3,7.3,0.455,1.6,2,0.817,0.5,4.7,5.3,2.4,1.2,0.4,1.7,3.2,14
